"Time (s) Run #1","Position, Ch1&2 (m) Run #1","Velocity, Ch1&2 (m/s) Run #1","Acceleration, Ch1&2 (m/s²) Run #1"
51.50,0.22,-0.09,0.15
51.60,0.21,-0.07,0.33
51.70,0.20,-0.02,0.45
51.80,0.20,0.04,0.41
51.90,0.21,0.07,0.24
52.00,0.22,0.08,0.09
52.10,0.22,0.08,0.02
52.20,0.23,0.08,0.01
52.30,0.24,0.08,0.02
52.40,0.25,0.08,0.02
52.50,0.26,0.09,0.00
52.60,0.27,0.09,-0.01
52.70,0.28,0.08,0.00
52.80,0.28,0.08,0.03
52.90,0.29,0.09,0.05
53.00,0.30,0.10,0.05
53.10,0.31,0.10,0.03
53.20,0.32,0.10,0.03
53.30,0.33,0.11,0.02
53.40,0.34,0.11,0.02
53.50,0.35,0.11,0.02
53.60,0.37,0.11,0.02
53.70,0.38,0.11,0.02
53.80,0.39,0.12,0.02
53.90,0.40,0.12,0.02
54.00,0.41,0.12,0.01
54.10,0.42,0.12,0.01
54.20,0.44,0.12,0.01
54.30,0.45,0.12,0.01
54.40,0.46,0.12,0.01
54.50,0.47,0.12,0.01
54.60,0.48,0.13,0.01
54.70,0.50,0.13,0.00
54.80,0.51,0.13,0.01
54.90,0.52,0.13,0.01
55.00,0.53,0.13,0.01
55.10,0.55,0.13,0.00
55.20,0.56,0.13,0.00
55.30,0.57,0.13,0.01
55.40,0.59,0.13,0.01
55.50,0.60,0.13,0.00
55.60,0.61,0.13,0.00
55.70,0.62,0.13,0.00
55.80,0.64,0.13,0.01
55.90,0.65,0.13,0.01
56.00,0.66,0.13,0.00
56.10,0.68,0.13,0.00
56.20,0.69,0.13,0.00
56.30,0.70,0.13,0.01
56.40,0.72,0.13,0.01
56.50,0.73,0.13,0.01
56.60,0.74,0.14,0.00
56.70,0.76,0.13,0.00
56.80,0.77,0.13,0.01
56.90,0.78,0.14,0.01
57.00,0.80,0.14,-3.95E-4
57.10,0.81,0.14,0.00
57.20,0.83,0.14,3.18E-4
57.30,0.84,0.14,0.01
57.40,0.85,0.14,0.01
57.50,0.87,0.14,0.01
57.60,0.88,0.14,0.00
57.70,0.89,0.14,0.00
57.80,0.91,0.14,0.00
57.90,0.92,0.14,0.00
58.00,0.94,0.14,0.01
58.10,0.95,0.14,0.01
58.20,0.96,0.14,0.01
58.30,0.98,0.14,0.02
58.40,0.99,0.15,0.01
58.50,1.01,0.15,-0.01
58.60,1.02,0.14,-0.01
58.70,1.04,0.14,-0.01
58.80,1.05,0.14,-0.01
58.90,1.07,0.14,-0.01
59.00,1.08,0.14,0.00
59.10,1.09,0.14,0.00
59.20,1.11,0.14,0.00
59.30,1.12,0.14,-8.98E-4
59.40,1.14,0.14,0.00
59.50,1.15,0.14,-1.77E-4
59.60,1.16,0.14,0.01
59.70,1.18,0.14,0.01
59.80,1.19,0.14,0.00
59.90,1.21,0.14,0.00
60.00,1.22,0.14,-0.01
60.10,1.24,0.14,0.00
60.20,1.25,0.14,6.83E-4
60.30,1.26,0.14,0.00
60.40,1.28,0.14,-0.02
60.50,1.29,0.14,-0.02
60.60,1.31,0.14,0.01
60.70,1.32,0.14,0.04
60.80,1.33,0.15,0.03
60.90,1.35,0.15,0.00
61.00,1.36,0.15,-0.01
61.10,1.38,0.14,-0.01
61.20,1.39,0.14,0.01
61.30,1.41,0.15,0.01
61.40,1.42,0.15,0.00
61.50,1.44,0.15,0.00
61.60,1.45,0.15,0.00
61.70,1.47,0.15,0.00
61.80,1.48,0.15,-9.82E-4
61.90,1.50,0.15,-8.00E-4
62.00,1.51,0.15,0.01
62.10,1.52,0.15,0.02
62.20,1.54,0.15,0.02
62.30,1.56,0.15,0.01
62.40,1.57,0.15,0.00
62.50,1.59,0.15,0.01
62.60,1.60,0.15,0.01
62.70,1.62,0.16,0.01
62.80,1.63,0.16,-0.02
62.90,1.65,0.15,-0.03
63.00,1.66,0.15,-0.03
63.10,1.68,0.15,-0.01
63.20,1.69,0.15,0.00
63.30,1.71,0.15,-0.01
63.40,1.72,0.15,-0.02
63.50,1.74,0.14,-0.02
63.60,1.75,0.14,-0.03
63.70,1.76,0.14,-0.05
63.80,1.78,0.13,-0.09
63.90,1.79,0.12,-0.08
64.00,1.80,0.11,-0.01
64.10,1.81,0.12,0.04
64.20,1.82,0.13,0.04
64.30,1.84,0.13,0.00
64.40,1.85,0.12,-0.01
64.50,1.86,0.12,-0.01
64.60,1.87,0.13,-0.04
64.70,1.89,0.12,-0.08
64.80,1.90,0.10,-0.08
64.90,1.91,0.10,-0.04
65.00,1.92,0.10,-0.01
65.10,1.93,0.10,0.00
65.20,1.94,0.10,-0.01
65.30,1.95,0.09,-0.04
65.40,1.95,0.09,-0.11
65.50,1.96,0.08,-0.30
